,questions
0,"{'question': 'How to make SVGs with different viewboxes same size?', 'views': '2 views', 'vote_count': '0', 'post_tag': ['html', 'css', 'svg'], 'time': '26 secs ago', 'asked_by': 'Alopwer', 'avatar': '/users/11787903/alopwer'}"
1,"{'question': 'The background attribute in CSS is not working', 'views': '2 views', 'vote_count': '0', 'post_tag': ['html', 'css', 'background'], 'time': '37 secs ago', 'asked_by': 'user2749166', 'avatar': '/users/2749166/user2749166'}"
2,"{'question': 'How to find all possible combinations for a given float value along with the sum? For example(11.5, 10, 12, 15)', 'views': '4 views', 'vote_count': '0', 'post_tag': ['python', 'c#'], 'time': '40 secs ago', 'asked_by': 'Haneesh Penubolu', 'avatar': '/users/14398872/haneesh-penubolu'}"
3,"{'question': 'Catch all Bluetoothdata from one Device which is connected to Windows', 'views': '2 views', 'vote_count': '0', 'post_tag': ['c#', 'windows', 'bluetooth', 'transfer'], 'time': '40 secs ago', 'asked_by': 'scahwalla', 'avatar': '/users/14398863/scahwalla'}"
4,"{'question': 'deep link web URL query item is empty swift ios', 'views': '2 views', 'vote_count': '0', 'post_tag': ['ios', 'swift', 'deep-linking', 'firebase-dynamic-links', 'ios-universal-links'], 'time': '55 secs ago', 'asked_by': 'Hanzala Raza', 'avatar': '/users/10324635/hanzala-raza'}"
5,"{'question': 'Python: Removing comma at the end of the string', 'views': '9 views', 'vote_count': '-1', 'post_tag': ['python'], 'time': '1 min ago', 'asked_by': 'CrazyCoder', 'avatar': '/users/13046685/crazycoder'}"
6,"{'question': 'Does H2O Driverless AI have inbuilt support for merging multiple dataset and using the merged dataset for training?', 'views': '2 views', 'vote_count': '0', 'post_tag': ['csv', 'h2o', 'training-data', 'merging-data', 'driverless-ai'], 'time': '1 min ago', 'asked_by': 'Firenze', 'avatar': '/users/13845475/firenze'}"
7,"{'question': 'can anyone help me vertical align content div within the body, so far have it centered on the x-axis but cant center on y-axis thanks', 'views': '5 views', 'vote_count': '0', 'post_tag': ['html', 'css'], 'time': '1 min ago', 'asked_by': 'Abz', 'avatar': '/users/14372027/abz'}"
8,"{'question': 'What is the difference between with, compact and array in when return view in laravel', 'views': '4 views', 'vote_count': '0', 'post_tag': ['php', 'laravel', 'laravel-5'], 'time': '1 min ago', 'asked_by': 'Ahmed Dabbash', 'avatar': '/users/5256559/ahmed-dabbash'}"
9,"{'question': ""r - Combine furrr's parallel processing with for loop to download multiple files into their subfolders"", 'views': '2 views', 'vote_count': '0', 'post_tag': ['r', 'for-loop', 'parallel-processing', 'downloadfile', 'furrr'], 'time': '1 min ago', 'asked_by': 'iembry', 'avatar': '/users/2671049/iembry'}"
